      Size of array	      Max value	     Sequential	      Recursive	  Multithreaded
 1.              10	              2	              0	              0	              0
 2.              10	              4	              0	              0	              0
 3.              10	             10	              0	              0	              0
 4.              10	           1000	              0	              0	              0
 5.              10	      100000000	              0	              0	              0

 6.             100	              2	              0	              0	              0
 7.             100	              4	              0	              0	              0
 8.             100	             10	              0	              0	              0
 9.             100	           1000	              0	              0	              0
10.             100	      100000000	              0	              0	              0

11.            1000	              2	              0	              0	              0
12.            1000	              4	              0	              0	              0
13.            1000	             10	              0	              0	              0
14.            1000	           1000	              0	              0	              0
15.            1000	      100000000	              0	              0	              0

16.         1000000	              2	              2	              7	              4
17.         1000000	              4	              1	              7	              4
18.         1000000	             10	              1	              7	              4
19.         1000000	           1000	              1	              7	              4
20.         1000000	      100000000	              1	              7	              4

Checking whether the program is correct or not.
The program seems to be correct!
